Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001683s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001204s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001479s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001647s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001631s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001523s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001181s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001626s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001461s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001493s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000885s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001623s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001666s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001272s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001568s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001208s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001677s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001425s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001644s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001683s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001263s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001650s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001626s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001674s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001637s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001452s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001483s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001570s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001341s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001591s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.001581s
Input: 2048, Hidden: 1024, Output: 512, Mean Control Time: 0.001012s
Input: 1024, Hidden: 512, Output: 256, Mean Control Time: 0.001513s
Input: 512, Hidden: 256, Output: 128, Mean Control Time: 0.001602s
Input: 256, Hidden: 128, Output: 64, Mean Control Time: 0.000995s
