Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003238s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002838s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002729s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.002957s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.002738s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002683s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002948s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.002880s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003074s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002684s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003394s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.002855s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.002704s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003016s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002721s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003177s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003281s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003328s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003247s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003430s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003164s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003214s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003345s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003290s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003251s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003181s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003127s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003293s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003234s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003183s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003136s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003501s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003223s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003229s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003421s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003554s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003418s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003425s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003457s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003344s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003439s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003418s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003428s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003555s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003483s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003430s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.003261s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003369s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003210s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.003383s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002664s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003055s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003172s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002734s
Input: 256, Hidden: 128, Output: 64, Mean Hooked Time: 0.002641s
Input: 2048, Hidden: 1024, Output: 512, Mean Hooked Time: 0.003447s
Input: 1024, Hidden: 512, Output: 256, Mean Hooked Time: 0.003010s
Input: 512, Hidden: 256, Output: 128, Mean Hooked Time: 0.002741s
