Model Configuration, Percent Difference (%)
Input: 1024, Hidden: 512, Output: 256, 32.9268
Input: 512, Hidden: 256, Output: 128, 101.9733
Input: 256, Hidden: 128, Output: 64, 94.4886
Input: 2048, Hidden: 1024, Output: 512, 96.2500
Input: 1024, Hidden: 512, Output: 256, 94.7428
Input: 512, Hidden: 256, Output: 128, 107.0397
Input: 256, Hidden: 128, Output: 64, 121.7949
Input: 2048, Hidden: 1024, Output: 512, 95.1348
Input: 1024, Hidden: 512, Output: 256, 93.7133
Input: 512, Hidden: 256, Output: 128, 100.3727
Input: 256, Hidden: 128, Output: 64, 87.7059
Input: 2048, Hidden: 1024, Output: 512, 110.8075
Input: 1024, Hidden: 512, Output: 256, 143.9024
Input: 512, Hidden: 256, Output: 128, 100.6866
Input: 256, Hidden: 128, Output: 64, 75.4069
Input: 2048, Hidden: 1024, Output: 512, 73.3852
Input: 1024, Hidden: 512, Output: 256, 244.2540
Input: 512, Hidden: 256, Output: 128, 101.6785
Input: 256, Hidden: 128, Output: 64, 106.6755
Input: 2048, Hidden: 1024, Output: 512, 107.0327
Input: 1024, Hidden: 512, Output: 256, 126.3898
Input: 512, Hidden: 256, Output: 128, 95.9435
Input: 256, Hidden: 128, Output: 64, 123.2659
Input: 2048, Hidden: 1024, Output: 512, 136.4466
Input: 1024, Hidden: 512, Output: 256, 185.9227
Input: 512, Hidden: 256, Output: 128, 142.0818
Input: 256, Hidden: 128, Output: 64, 94.1502
Input: 2048, Hidden: 1024, Output: 512, 133.8235
Input: 1024, Hidden: 512, Output: 256, 137.4907
Input: 512, Hidden: 256, Output: 128, 131.3988
Input: 256, Hidden: 128, Output: 64, 104.4737
Input: 2048, Hidden: 1024, Output: 512, 103.0448
Input: 1024, Hidden: 512, Output: 256, 89.5072
Input: 512, Hidden: 256, Output: 128, 99.5095
Input: 256, Hidden: 128, Output: 64, 95.0061
Input: 2048, Hidden: 1024, Output: 512, 137.7745
Input: 1024, Hidden: 512, Output: 256, 116.9281
Input: 512, Hidden: 256, Output: 128, 96.1776
Input: 256, Hidden: 128, Output: 64, 93.8151
Input: 2048, Hidden: 1024, Output: 512, 99.9412
Input: 1024, Hidden: 512, Output: 256, 179.3664
Input: 512, Hidden: 256, Output: 128, 106.1713
Input: 256, Hidden: 128, Output: 64, 89.5363
Input: 2048, Hidden: 1024, Output: 512, 102.8262
Input: 1024, Hidden: 512, Output: 256, 119.3697
Input: 512, Hidden: 256, Output: 128, 93.8101
Input: 256, Hidden: 128, Output: 64, 141.5704
Input: 2048, Hidden: 1024, Output: 512, 98.7537
Input: 1024, Hidden: 512, Output: 256, 138.7997
Input: 512, Hidden: 256, Output: 128, 96.9306
Input: 256, Hidden: 128, Output: 64, 167.0625
Input: 2048, Hidden: 1024, Output: 512, 136.0135
Input: 1024, Hidden: 512, Output: 256, 93.3092
Input: 512, Hidden: 256, Output: 128, 171.8625
Input: 256, Hidden: 128, Output: 64, 80.8414
Input: 2048, Hidden: 1024, Output: 512, 121.2034
